Proyecciones de población por grupo de edad y comuna según sexo. Ciudad de Buenos Aires. 1 de julio de 2020,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
15-19,"97,651","8,121","4,079","5,802","9,338","5,415","4,902","8,377","9,885","6,022","5,546","5,881","6,257","6,376","5,952","5,698"
20-24,"96,245","10,182","5,946","6,790","7,960","5,537","4,795","7,587","8,197","5,020","4,735","5,123","5,628","6,170","7,277","5,298"
25-29,"104,083","11,163","6,041","7,434","7,926","6,544","5,755","7,724","7,777","5,078","4,998","5,664","6,520","7,204","8,277","5,978"
30-34,"113,301","11,068","5,259","7,774","8,258","7,361","6,953","8,220","7,548","5,728","5,691","6,537","8,300","8,675","8,819","7,110"
35-39,"111,570","10,202","4,586","7,272","8,392","6,945","7,030","8,472","7,557","6,135","5,943","6,891","8,245","8,943","8,144","6,813"
40-44,"108,302","9,710","4,287","7,130","8,564","6,714","6,527","8,163","7,530","6,303","5,874","6,868","7,706","8,435","7,932","6,559"
45-49,"96,849","8,594","4,087","6,182","7,103","5,936","6,002","7,323","6,189","5,466","5,689","6,498","7,148","7,586","6,931","6,115"
50-54,"78,818","7,140","3,506","4,798","5,664","4,916","5,100","5,985","4,623","4,520","4,819","5,479","5,855","6,048","5,619","4,746"
55-59,"71,332","6,203","3,521","4,537","5,136","4,371","4,703","5,396","3,843","4,094","4,306","4,757","5,142","5,533","5,398","4,392"
60-64,"67,020","5,662","3,708","3,977","4,373","4,094","4,440","5,014","3,318","3,875","4,098","4,524","4,982","5,632","5,246","4,077"
65-69,"58,266","4,820","3,482","3,437","3,692","3,520","3,812","4,324","2,905","3,294","3,324","3,985","4,402","5,054","4,851","3,364"
70-74,"48,705","3,772","2,829","2,893","3,200","2,973","3,107","3,668","2,531","2,831","2,965","3,213","3,612","4,257","3,988","2,866"
75-79,"36,206","2,624","2,059","2,162","2,349","2,255","2,428","2,757","1,837","2,162","2,237","2,508","2,720","3,103","2,817","2,188"
80 y más,"45,128","3,459","2,799","2,806","2,484","2,850","3,121","3,395","1,691","2,495","2,702","3,168","3,377","4,295","3,834","2,652"
,,,,,,,,,,,,,,,,(continúa)
,,,,,,,,,,,,,,,,
Mujer,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"1,631,101","128,754","82,723","101,966","125,143","101,206","100,666","127,938","119,300","88,408","90,527","100,320","114,385","128,367","124,331","97,067"
0-4,"98,992","7,975","3,278","5,588","9,403","5,271","5,410","8,640","11,387","5,867","5,311","5,527","6,833","6,790","6,179","5,533"
5-9,"98,227","7,389","3,215","5,490","9,690","5,253","5,288","8,771","11,126","6,156","5,563","6,124","6,666","6,391","5,561","5,544"
10-14,"96,854","7,362","3,176","5,505","9,870","5,252","4,868","8,691","10,931","6,076","5,729","5,857","6,284","6,081","5,481","5,691"
15-19,"94,528","7,493","4,470","5,562","9,106","5,176","4,788","8,009","9,968","5,700","5,195","5,567","5,901","6,012","6,299","5,282"
20-24,"96,843","9,273","7,131","6,808","7,726","5,558","4,949","7,575","8,376","4,676","4,712","4,747","5,428","6,451","8,234","5,199"
25-29,"107,870","10,474","6,946","7,404","7,979","6,932","6,274","7,875","7,715","4,957","5,038","5,502","6,923","8,198","9,429","6,224"
30-34,"118,974","9,864","5,924","7,568","8,900","7,891","7,696","8,799","7,956","5,645","5,941","6,718","8,925","9,913","9,774","7,460"
35-39,"117,515","9,515","5,028","7,503","8,739","7,681","7,713","8,686","8,051","6,118","6,259","7,127","8,837","9,962","9,104","7,192"
40-44,"115,246","9,156","5,014","7,228","8,796","7,243","7,263","8,901","7,987","6,284","6,427","7,450","8,185","9,339","8,829","7,144"
45-49,"106,457","8,310","4,940","6,753","7,878","6,681","6,791","8,194","6,865","5,804","6,242","6,937","7,754","8,491","8,020","6,797"
50-54,"90,209","6,922","4,512","5,602","6,453","5,814","6,086","7,063","5,094","4,744","5,371","5,940","6,679","7,416","6,934","5,579"
55-59,"86,011","6,516","4,722","5,433","5,825","5,683","5,774","6,460","4,542","4,515","5,085","5,723","6,187","7,307","6,993","5,246"
60-64,"86,245","6,379","5,044","5,476","5,493","5,676","5,887","6,337","4,503","4,446","4,839","5,640","6,356","7,683","7,256","5,230"
65-69,"80,469","5,851","4,826","5,125","5,153","5,330","5,381","5,830","4,122","4,356","4,525","5,198","5,856","7,297","6,858","4,761"
70-74,"73,307","5,079","4,419","4,626","4,609","4,793","5,012","5,409","3,806","4,062","4,345","4,873","5,433","6,321","6,138","4,382"
75-79,"61,295","4,172","3,400","3,910","3,779","3,929","4,060","4,673","3,027","3,595","3,781","4,216","4,650","5,412","4,982","3,709"
80 y más,"102,059","7,024","6,678","6,385","5,744","7,043","7,426","8,025","3,844","5,407","6,164","7,174","7,488","9,303","8,260","6,094"
Fuente: Dirección General de Estadística y Censos (Ministerio de Hacienda GCBA). Proyecciones de población.,,,,,,,,,,,,,,,,
