Proyecciones de población por grupo de edad y comuna según sexo. Ciudad de Buenos Aires. 1 de julio de 2017,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"1,434,323","125,021","66,825","90,802","113,908","85,822","84,263","112,905","107,863","82,265","79,790","89,641","99,692","107,621","102,588","85,317"
0-4,"107,161","8,933","3,767","6,347","10,236","5,741","5,747","9,503","11,776","6,405","5,672","5,954","7,234","7,539","6,438","5,869"
5-9,"104,598","7,950","3,512","6,129","10,098","5,798","5,476","9,190","11,318","6,787","6,103","6,496","6,919","6,854","5,871","6,097"
10-14,"102,495","7,935","3,439","6,046","10,406","5,553","5,108","9,065","11,065","6,870","5,646","6,560","6,603","6,630","5,681","5,888"
15-19,"93,562","7,664","3,942","5,563","8,920","5,200","4,710","8,013","9,355","5,778","5,347","5,683","6,007","6,145","5,735","5,500"
20-24,"99,750","10,393","6,214","7,043","8,226","5,751","4,984","7,850","8,391","5,211","4,938","5,356","5,845","6,432","7,585","5,531"
25-29,"109,196","11,533","6,390","7,804","8,289","6,878","6,054","8,088","8,057","5,334","5,275","5,992","6,853","7,601","8,731","6,317"
30-34,"116,112","11,166","5,431","7,970","8,434","7,556","7,142","8,405","7,636","5,875","5,866","6,754","8,519","8,937","9,084","7,337"
35-39,"112,904","10,162","4,677","7,362","8,462","7,039","7,130","8,554","7,549","6,213","6,048","7,030","8,355","9,098","8,283","6,942"
40-44,"105,082","9,274","4,192","6,921","8,281","6,525","6,347","7,902","7,212","6,121","5,731","6,717","7,488","8,227","7,736","6,408"
45-49,"87,512","7,644","3,721","5,586","6,394","5,371","5,435","6,600","5,520","4,943","5,169","5,918","6,467","6,889","6,293","5,562"
50-54,"75,645","6,743","3,390","4,605","5,415","4,724","4,905","5,730","4,378","4,341","4,650","5,300","5,626","5,834","5,419","4,585"
55-59,"72,005","6,161","3,581","4,579","5,163","4,417","4,756","5,432","3,828","4,135","4,370","4,839","5,195","5,612","5,475","4,462"
60-64,"65,761","5,465","3,665","3,901","4,271","4,021","4,364","4,906","3,211","3,803","4,042","4,472","4,892","5,552","5,171","4,025"
65-69,"57,354","4,667","3,450","3,382","3,618","3,468","3,759","4,244","2,821","3,243","3,288","3,952","4,336","4,998","4,797","3,331"
70-74,"46,928","3,575","2,745","2,786","3,070","2,865","2,998","3,524","2,405","2,728","2,871","3,118","3,483","4,121","3,860","2,779"
75-79,"34,344","2,447","1,967","2,050","2,219","2,140","2,307","2,607","1,719","2,051","2,132","2,396","2,582","2,956","2,683","2,088"
80 y más,"43,914","3,309","2,742","2,728","2,406","2,775","3,041","3,292","1,622","2,427","2,642","3,104","3,288","4,196","3,746","2,596"
,,,,,,,,,,,,,,,,(continúa)
,,,,,,,,,,,,,,,,
Mujer,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"1,629,405","128,250","82,895","101,961","124,901","101,134","100,583","127,702","118,786","88,340","90,492","100,345","114,222","128,346","124,356","97,092"
0-4,"101,033","8,101","3,352","5,708","9,580","5,385","5,533","8,815","11,555","5,999","5,436","5,664","6,982","6,948","6,313","5,662"
5-9,"98,716","7,392","3,237","5,522","9,722","5,285","5,325","8,812","11,115","6,198","5,606","6,179","6,707","6,437","5,594","5,585"
10-14,"97,972","7,412","3,218","5,573","9,967","5,319","4,934","8,788","10,991","6,158","5,812","5,949","6,364","6,166","5,550","5,771"
15-19,"91,854","7,246","4,352","5,409","8,833","5,035","4,661","7,779","9,628","5,549","5,063","5,431","5,740","5,856","6,127","5,145"
20-24,"101,733","9,694","7,504","7,156","8,101","5,844","5,210","7,955","8,746","4,921","4,964","5,006","5,708","6,792","8,658","5,474"
25-29,"114,365","11,050","7,376","7,854","8,444","7,356","6,663","8,344","8,129","5,264","5,355","5,857","7,346","8,710","10,004","6,613"
30-34,"122,088","10,070","6,088","7,769","9,114","8,103","7,910","9,023","8,113","5,801","6,112","6,919","9,166","10,193","10,036","7,671"
35-39,"118,864","9,575","5,094","7,592","8,821","7,775","7,813","8,778","8,091","6,197","6,347","7,235","8,946","10,096","9,214","7,290"
40-44,"112,809","8,915","4,916","7,077","8,592","7,095","7,120","8,706","7,769","6,161","6,307","7,319","8,018","9,159","8,648","7,007"
45-49,"97,628","7,581","4,537","6,195","7,209","6,130","6,237","7,508","6,255","5,331","5,738","6,384","7,117","7,801","7,359","6,246"
50-54,"87,851","6,705","4,400","5,457","6,270","5,665","5,935","6,872","4,928","4,627","5,243","5,805","6,509","7,235","6,756","5,444"
55-59,"88,481","6,667","4,863","5,590","5,979","5,848","5,948","6,639","4,643","4,651","5,244","5,907","6,368","7,530","7,197","5,407"
60-64,"85,774","6,310","5,023","5,447","5,451","5,647","5,862","6,296","4,449","4,428","4,823","5,628","6,325","7,654","7,220","5,211"
65-69,"79,929","5,781","4,799","5,092","5,105","5,296","5,351","5,785","4,068","4,332","4,505","5,181","5,820","7,261","6,815","4,738"
70-74,"71,114","4,900","4,293","4,488","4,461","4,651","4,868","5,242","3,668","3,946","4,226","4,743","5,273","6,142","5,956","4,257"
75-79,"58,700","3,973","3,260","3,745","3,610","3,764","3,893","4,470","2,879","3,447","3,629","4,051","4,457","5,192","4,772","3,558"
80 y más,"100,494","6,878","6,583","6,287","5,642","6,936","7,320","7,890","3,759","5,330","6,082","7,087","7,376","9,174","8,137","6,013"
Fuente: Dirección General de Estadística y Censos (Ministerio de Hacienda GCBA). Proyecciones de población.,,,,,,,,,,,,,,,,
