Proyecciones de población por grupo de edad y comuna según sexo. Ciudad de Buenos Aires. 1 de julio de 2018,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
75-79,"34,952","2,506","1,997","2,086","2,261","2,178","2,346","2,656","1,757","2,088","2,166","2,433","2,627","3,004","2,727","2,120"
80 y más,"44,205","3,352","2,754","2,747","2,426","2,793","3,060","3,318","1,640","2,443","2,655","3,118","3,309","4,218","3,765","2,607"
,,,,,,,,,,,,,,,,(continúa)
,,,,,,,,,,,,,,,,
Mujer,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"1,630,107","128,458","82,824","101,963","125,001","101,164","100,617","127,800","118,999","88,368","90,507","100,334","114,289","128,355","124,346","97,082"
0-4,"100,444","8,069","3,330","5,673","9,530","5,351","5,496","8,765","11,512","5,960","5,399","5,623","6,938","6,900","6,275","5,623"
5-9,"98,377","7,379","3,224","5,501","9,694","5,265","5,303","8,783","11,101","6,173","5,581","6,149","6,681","6,409","5,573","5,561"
10-14,"98,279","7,449","3,227","5,588","10,003","5,333","4,946","8,817","11,050","6,173","5,825","5,959","6,381","6,180","5,565","5,783"
15-19,"92,118","7,281","4,362","5,423","8,864","5,048","4,671","7,803","9,677","5,561","5,072","5,438","5,754","5,867","6,142","5,155"
20-24,"100,120","9,559","7,381","7,041","7,977","5,749","5,123","7,831","8,626","4,840","4,880","4,920","5,615","6,678","8,518","5,382"
25-29,"111,328","10,778","7,177","7,643","8,225","7,158","6,481","8,124","7,931","5,121","5,208","5,693","7,149","8,472","9,736","6,432"
30-34,"122,194","10,100","6,091","7,775","9,129","8,108","7,912","9,033","8,138","5,803","6,112","6,915","9,171","10,194","10,042","7,671"
35-39,"118,330","9,551","5,066","7,557","8,788","7,738","7,774","8,742","8,074","6,166","6,313","7,193","8,903","10,043","9,171","7,251"
40-44,"114,001","9,027","4,966","7,151","8,689","7,166","7,192","8,801","7,869","6,223","6,368","7,387","8,101","9,249","8,737","7,075"
45-49,"100,838","7,846","4,684","6,397","7,452","6,331","6,439","7,757","6,476","5,503","5,922","6,585","7,349","8,052","7,599","6,446"
50-54,"87,990","6,730","4,406","5,465","6,285","5,673","5,942","6,885","4,948","4,632","5,247","5,807","6,516","7,242","6,765","5,447"
55-59,"87,545","6,610","4,810","5,531","5,920","5,786","5,882","6,571","4,604","4,600","5,184","5,837","6,299","7,445","7,120","5,346"
60-64,"86,172","6,353","5,044","5,472","5,480","5,672","5,887","6,328","4,480","4,446","4,842","5,647","6,353","7,685","7,252","5,231"
65-69,"80,077","5,804","4,807","5,101","5,119","5,305","5,359","5,798","4,085","4,337","4,510","5,184","5,830","7,269","6,826","4,743"
70-74,"71,969","4,970","4,343","4,542","4,518","4,707","4,925","5,307","3,721","3,992","4,271","4,794","5,335","6,212","6,027","4,305"
75-79,"59,528","4,038","3,305","3,797","3,664","3,817","3,946","4,535","2,927","3,494","3,677","4,104","4,517","5,262","4,839","3,606"
80 y más,"100,797","6,914","6,601","6,306","5,664","6,957","7,339","7,920","3,780","5,344","6,096","7,099","7,397","9,196","8,159","6,025"
Fuente: Dirección General de Estadística y Censos (Ministerio de Hacienda GCBA). Proyecciones de población.,,,,,,,,,,,,,,,,
