Proyecciones de población por grupo de edad y comuna según sexo. Ciudad de Buenos Aires. 1 de julio de 2016,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
75-79,"91,726","6,306","5,158","5,713","5,740","5,822","6,115","6,971","4,518","5,422","5,686","6,369","6,938","8,041","7,354","5,573"
80 y más,"144,098","10,128","9,313","8,995","8,021","9,693","10,343","11,153","5,352","7,742","8,714","10,186","10,643","13,354","11,862","8,599"
,,,,,,,,,,,,,,,,(continúa)
,,,,,,,,,,,,,,,,
Varón,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"1,430,531","124,045","66,870","90,614","113,518","85,640","84,068","112,527","107,199","82,045","79,688","89,599","99,433","107,484","102,515","85,286"
0-4,"107,662","8,925","3,795","6,380","10,275","5,772","5,780","9,542","11,780","6,440","5,711","6,001","7,274","7,592","6,482","5,913"
5-9,"105,089","7,941","3,538","6,161","10,136","5,830","5,508","9,228","11,322","6,823","6,145","6,545","6,957","6,901","5,911","6,143"
10-14,"100,984","7,774","3,399","5,960","10,244","5,475","5,039","8,926","10,854","6,773","5,574","6,483","6,511","6,546","5,609","5,817"
15-19,"93,832","7,642","3,964","5,582","8,937","5,219","4,729","8,029","9,341","5,798","5,374","5,717","6,029","6,176","5,763","5,532"
20-24,"100,772","10,440","6,294","7,118","8,302","5,815","5,040","7,926","8,440","5,267","4,999","5,427","5,910","6,512","7,678","5,604"
25-29,"111,917","11,751","6,567","8,002","8,487","7,055","6,211","8,284","8,221","5,470","5,418","6,160","7,029","7,806","8,966","6,490"
30-34,"115,724","11,063","5,427","7,944","8,396","7,535","7,124","8,370","7,576","5,858","5,858","6,751","8,495","8,925","9,071","7,331"
35-39,"113,211","10,130","4,701","7,383","8,475","7,062","7,155","8,570","7,534","6,233","6,076","7,069","8,383","9,140","8,321","6,979"
40-44,"103,127","9,047","4,125","6,792","8,117","6,407","6,234","7,749","7,046","6,009","5,635","6,612","7,353","8,090","7,606","6,305"
45-49,"84,506","7,335","3,602","5,395","6,167","5,189","5,252","6,368","5,306","4,774","5,001","5,731","6,248","6,665","6,088","5,385"
50-54,"75,444","6,685","3,389","4,593","5,394","4,714","4,895","5,709","4,346","4,331","4,646","5,301","5,614","5,829","5,414","4,584"
55-59,"72,268","6,146","3,602","4,596","5,175","4,435","4,777","5,447","3,824","4,150","4,393","4,870","5,217","5,643","5,504","4,489"
60-64,"65,192","5,385","3,641","3,867","4,228","3,987","4,329","4,858","3,168","3,770","4,013","4,445","4,851","5,514","5,136","4,000"
65-69,"57,050","4,613","3,441","3,364","3,594","3,450","3,741","4,217","2,792","3,226","3,276","3,941","4,315","4,980","4,779","3,321"
70-74,"46,250","3,501","2,711","2,746","3,021","2,826","2,956","3,469","2,359","2,689","2,834","3,082","3,433","4,068","3,810","2,745"
75-79,"33,785","2,393","1,939","2,016","2,179","2,106","2,270","2,561","1,683","2,018","2,101","2,365","2,540","2,913","2,643","2,058"
80 y más,"43,718","3,274","2,735","2,715","2,391","2,763","3,028","3,274","1,607","2,416","2,634","3,099","3,274","4,184","3,734","2,590"
,,,,,,,,,,,,,,,,(continúa)
,,,,,,,,,,,,,,,,
Mujer,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"1,628,591","128,008","82,978","101,959","124,785","101,100","100,543","127,589","118,538","88,308","90,475","100,357","114,143","128,335","124,369","97,104"
0-4,"101,512","8,123","3,370","5,737","9,621","5,413","5,563","8,855","11,583","6,032","5,468","5,700","7,019","6,987","6,346","5,695"
5-9,"99,256","7,418","3,257","5,554","9,769","5,316","5,358","8,858","11,150","6,237","5,643","6,222","6,747","6,478","5,627","5,622"
10-14,"96,783","7,307","3,182","5,508","9,840","5,256","4,877","8,679","10,833","6,087","5,748","5,886","6,289","6,097","5,486","5,708"
15-19,"92,599","7,290","4,390","5,455","8,899","5,078","4,702","7,840","9,683","5,598","5,109","5,483","5,790","5,909","6,180","5,193"
20-24,"103,211","9,814","7,618","7,263","8,214","5,931","5,288","8,069","8,852","4,996","5,041","5,087","5,793","6,897","8,788","5,560"
25-29,"117,460","11,324","7,580","8,069","8,666","7,557","6,847","8,567","8,329","5,410","5,506","6,024","7,548","8,954","10,279","6,800"
30-34,"121,721","10,018","6,073","7,748","9,080","8,081","7,891","8,991","8,069","5,787","6,099","6,907","9,141","10,171","10,009","7,656"
35-39,"119,198","9,580","5,110","7,615","8,839","7,799","7,840","8,800","8,094","6,219","6,371","7,265","8,973","10,133","9,243","7,317"
40-44,"111,175","8,766","4,847","6,976","8,461","6,994","7,021","8,576","7,637","6,075","6,222","7,223","7,905","9,034","8,526","6,912"
45-49,"94,727","7,339","4,404","6,012","6,989","5,950","6,055","7,282","6,054","5,175","5,573","6,203","6,908","7,575","7,142","6,066"
50-54,"88,106","6,709","4,415","5,474","6,283","5,682","5,955","6,889","4,930","4,642","5,263","5,831","6,529","7,262","6,777","5,465"
55-59,"89,280","6,712","4,909","5,642","6,028","5,902","6,004","6,696","4,672","4,695","5,295","5,968","6,428","7,604","7,264","5,461"
60-64,"85,347","6,264","5,000","5,421","5,419","5,620","5,836","6,262","4,415","4,407","4,803","5,607","6,295","7,622","7,186","5,190"
65-69,"79,694","5,751","4,787","5,077","5,086","5,282","5,338","5,765","4,045","4,321","4,495","5,172","5,804","7,246","6,796","4,729"
70-74,"70,201","4,826","4,239","4,431","4,400","4,593","4,808","5,171","3,612","3,897","4,174","4,688","5,207","6,068","5,881","4,206"
75-79,"57,941","3,913","3,219","3,697","3,561","3,716","3,845","4,410","2,835","3,404","3,585","4,004","4,398","5,128","4,711","3,515"
80 y más,"100,380","6,854","6,578","6,280","5,630","6,930","7,315","7,879","3,745","5,326","6,080","7,087","7,369","9,170","8,128","6,009"
Fuente: Dirección General de Estadística y Censos (Ministerio de Hacienda GCBA). Proyecciones de población.,,,,,,,,,,,,,,,,
