Proyecciones de población por grupo de edad y comuna según sexo. Ciudad de Buenos Aires. 1 de julio de 2021,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0-4,"104,126","8,848","3,618","6,158","9,982","5,561","5,561","9,250","11,624","6,210","5,465","5,719","7,008","7,268","6,207","5,647"
5-9,"103,592","8,027","3,439","6,063","10,039","5,726","5,403","9,120","11,390","6,710","5,994","6,359","6,834","6,736","5,771","5,981"
10-14,"101,471","8,009","3,366","5,979","10,341","5,481","5,037","8,992","11,130","6,787","5,542","6,420","6,519","6,513","5,582","5,773"
15-19,"99,403","8,302","4,141","5,904","9,515","5,509","4,986","8,532","10,100","6,127","5,634","5,971","6,365","6,480","6,048","5,789"
20-24,"95,498","10,145","5,883","6,736","7,907","5,491","4,754","7,532","8,164","4,979","4,689","5,070","5,582","6,112","7,208","5,246"
25-29,"103,150","11,111","5,971","7,367","7,863","6,481","5,699","7,659","7,737","5,031","4,944","5,599","6,458","7,128","8,189","5,913"
30-34,"110,846","10,876","5,131","7,606","8,089","7,198","6,797","8,047","7,414","5,602","5,558","6,380","8,117","8,474","8,615","6,942"
35-39,"111,684","10,258","4,578","7,280","8,411","6,949","7,032","8,486","7,595","6,140","5,938","6,881","8,250","8,939","8,140","6,807"
40-44,"108,450","9,766","4,282","7,139","8,586","6,721","6,532","8,179","7,570","6,310","5,871","6,860","7,714","8,433","7,931","6,556"
45-49,"99,170","8,839","4,174","6,330","7,283","6,076","6,142","7,504","6,363","5,596","5,816","6,638","7,317","7,756","7,086","6,250"
50-54,"81,174","7,387","3,602","4,942","5,841","5,061","5,248","6,168","4,780","4,654","4,955","5,630","6,028","6,220","5,779","4,879"
55-59,"71,425","6,240","3,517","4,543","5,149","4,375","4,705","5,408","3,864","4,099","4,305","4,753","5,147","5,532","5,398","4,390"
60-64,"67,011","5,688","3,699","3,977","4,377","4,093","4,437","5,018","3,331","3,874","4,091","4,513","4,980","5,624","5,239","4,070"
65-69,"58,758","4,883","3,503","3,467","3,728","3,549","3,843","4,364","2,942","3,322","3,347","4,010","4,438","5,090","4,886","3,386"
70-74,"49,130","3,823","2,846","2,919","3,232","2,998","3,132","3,704","2,565","2,855","2,986","3,234","3,643","4,289","4,018","2,886"
75-79,"36,842","2,683","2,090","2,200","2,394","2,294","2,470","2,808","1,878","2,201","2,273","2,547","2,767","3,153","2,862","2,222"
80 y más,"45,765","3,525","2,832","2,847","2,523","2,890","3,164","3,446","1,722","2,530","2,737","3,205","3,427","4,351","3,882","2,684"
,,,,,,,,,,,,,,,,(continúa)
,,,,,,,,,,,,,,,,
Mujer,,,,,,,,,,,,,,,,
Grupo de edad (años),Total,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Total,"1,631,341","128,825","82,699","101,968","125,177","101,217","100,678","127,971","119,372","88,417","90,532","100,316","114,408","128,370","124,327","97,064"
0-4,"98,150","7,915","3,248","5,540","9,328","5,224","5,361","8,566","11,309","5,814","5,261","5,474","6,772","6,729","6,125","5,484"
5-9,"97,858","7,369","3,201","5,469","9,659","5,232","5,266","8,738","11,102","6,130","5,537","6,094","6,639","6,362","5,539","5,521"
10-14,"96,149","7,316","3,151","5,463","9,803","5,213","4,830","8,627","10,868","6,029","5,683","5,809","6,236","6,034","5,440","5,647"
15-19,"95,896","7,609","4,533","5,643","9,243","5,250","4,854","8,125","10,128","5,779","5,266","5,641","5,984","6,096","6,389","5,356"
20-24,"95,623","9,165","7,040","6,721","7,632","5,486","4,884","7,481","8,284","4,615","4,649","4,682","5,358","6,366","8,129","5,131"
25-29,"106,478","10,348","6,853","7,308","7,881","6,842","6,190","7,774","7,628","4,891","4,969","5,427","6,832","8,088","9,306","6,141"
30-34,"116,252","9,649","5,786","7,395","8,702","7,709","7,517","8,599","7,787","5,513","5,800","6,558","8,719","9,682","9,549","7,287"
35-39,"117,581","9,531","5,029","7,507","8,750","7,685","7,713","8,691","8,069","6,118","6,258","7,124","8,840","9,963","9,109","7,194"
40-44,"115,282","9,167","5,014","7,230","8,804","7,244","7,262","8,904","8,003","6,284","6,424","7,446","8,186","9,338","8,832","7,144"
45-49,"108,493","8,478","5,032","6,882","8,034","6,808","6,918","8,351","7,008","5,913","6,357","7,063","7,902","8,649","8,173","6,925"
50-54,"92,453","7,102","4,623","5,742","6,618","5,958","6,235","7,239","5,229","4,861","5,501","6,082","6,844","7,597","7,106","5,716"
55-59,"85,570","6,490","4,695","5,406","5,799","5,653","5,742","6,428","4,526","4,491","5,056","5,688","6,154","7,267","6,957","5,218"
60-64,"85,773","6,351","5,015","5,446","5,467","5,644","5,852","6,304","4,486","4,420","4,809","5,604","6,320","7,638","7,217","5,200"
65-69,"80,830","5,884","4,846","5,149","5,179","5,353","5,402","5,857","4,148","4,374","4,542","5,217","5,882","7,327","6,888","4,782"
70-74,"73,736","5,114","4,444","4,653","4,639","4,821","5,039","5,443","3,835","4,085","4,368","4,897","5,464","6,355","6,174","4,405"
75-79,"62,195","4,238","3,449","3,968","3,837","3,986","4,118","4,742","3,077","3,647","3,834","4,274","4,717","5,490","5,055","3,763"
80 y más,"103,022","7,099","6,740","6,446","5,802","7,109","7,495","8,102","3,885","5,453","6,218","7,236","7,559","9,389","8,339","6,150"
Fuente: Dirección General de Estadística y Censos (Ministerio de Hacienda GCBA). Proyecciones de población.,,,,,,,,,,,,,,,,
